"Bill Number","Congress","Title","No. of Reports & Specific Issues*"
"H.R.824    ","118","Telehealth Benefit Expansion for Workers Act of 2023","4"
"S.3430     ","118","Better Mental Health Care Lower-Cost Drugs and Extenders Act of 2023","4"
"H.R.5378    ","118","Lower Costs More Transparency Act","4"
"S.3393     ","118","SUPPORT for Patients and Communities Reauthorization Act","4"
"H.R.7623    ","118","Telehealth Modernization Act of 2024","3"
"S.3565     ","118","Affordable Connectivity Program Extension Act of 2024","3"
"H.R.6962    ","118","Financial Stability Oversight Council Reform Act","3"
"H.R.6929    ","118","Affordable Connectivity Program Extension Act of 2024","2"
"H.R.4366    ","118","Military Construction Veterans Affairs and Related Agencies Appropriations Act 2024","2"
"H.R.2882    ","118","Udall Foundation Reauthorization Act of 2023","2"
"H.R.9747    ","118","Continuing Appropriations and Extensions Act 2025","1"
"H.R.1054    ","118","EEOC Transparency and Accountability Act","1"